"seed_base","seed_condition","rep","n","effect_type","covset","method","rmse_tau","n_train","n_test","notes","sd_tau_clipped","tau_mean","tau_min_realized","tau_max_realized","n_clipped"
20260215,20260215,1,100,"linear","SexOnly","causal_forest",NA,80,20,"The honesty fraction is too close to 1 or 0, as no observations will be sampled.",1.86131459506134,-12.08,-16.9287385276419,-8.51757880082969,0
20260215,20260215,1,100,"linear","SexOnly","drlearner",2.03721415952856,80,20,"OK (cv=3)",1.86131459506134,-12.08,-16.9287385276419,-8.51757880082969,0
20260215,20260215,1,100,"linear","SexGene","causal_forest",NA,80,20,"The honesty fraction is too close to 1 or 0, as no observations will be sampled.",1.86131459506134,-12.08,-16.9287385276419,-8.51757880082969,0
20260215,20260215,1,100,"linear","SexGene","drlearner",0.667627164067328,80,20,"OK (cv=3)",1.86131459506134,-12.08,-16.9287385276419,-8.51757880082969,0
20260215,20260315,1,100,"threshold3","SexOnly","causal_forest",1.596549510189,80,20,"OK",1.61972531653058,-11.985,-14.5,-9.5,0
20260215,20260315,1,100,"threshold3","SexOnly","drlearner",1.62927120257099,80,20,"OK (cv=3)",1.61972531653058,-11.985,-14.5,-9.5,0
20260215,20260315,1,100,"threshold3","SexGene","causal_forest",1.48261948823736,80,20,"OK",1.61972531653058,-11.985,-14.5,-9.5,0
20260215,20260315,1,100,"threshold3","SexGene","drlearner",1.29210197467924,80,20,"OK (cv=3)",1.61972531653058,-11.985,-14.5,-9.5,0
20260215,20270215,1,500,"linear","SexOnly","causal_forest",1.50470642010815,400,100,"OK",1.74911077148761,-12.004,-17.7105618294229,-7.16757995880373,0
20260215,20270215,1,500,"linear","SexOnly","drlearner",1.50537963048575,400,100,"OK (cv=5)",1.74911077148761,-12.004,-17.7105618294229,-7.16757995880373,0
20260215,20270215,1,500,"linear","SexGene","causal_forest",0.58114700382732,400,100,"OK",1.74911077148761,-12.004,-17.7105618294229,-7.16757995880373,0
20260215,20270215,1,500,"linear","SexGene","drlearner",19.9391251857193,400,100,"OK (cv=5, clipped=100)",1.74911077148761,-12.004,-17.7105618294229,-7.16757995880373,0
20260215,20270315,1,500,"threshold3","SexOnly","causal_forest",1.25896969557622,400,100,"OK",1.55824621370471,-11.865,-14.5,-9.5,0
20260215,20270315,1,500,"threshold3","SexOnly","drlearner",1.25624077953324,400,100,"OK (cv=5)",1.55824621370471,-11.865,-14.5,-9.5,0
20260215,20270315,1,500,"threshold3","SexGene","causal_forest",0.707806872545834,400,100,"OK",1.55824621370471,-11.865,-14.5,-9.5,0
20260215,20270315,1,500,"threshold3","SexGene","drlearner",0.68462607869639,400,100,"OK (cv=5)",1.55824621370471,-11.865,-14.5,-9.5,0
20260215,20280215,1,1000,"linear","SexOnly","causal_forest",1.44644386314571,800,200,"OK",1.76409983159043,-12.0032301173744,-18,-7.21934654154032,1
20260215,20280215,1,1000,"linear","SexOnly","drlearner",1.44831718743032,800,200,"OK (cv=5)",1.76409983159043,-12.0032301173744,-18,-7.21934654154032,1
20260215,20280215,1,1000,"linear","SexGene","causal_forest",0.554762781873808,800,200,"OK",1.76409983159043,-12.0032301173744,-18,-7.21934654154032,1
20260215,20280215,1,1000,"linear","SexGene","drlearner",0.343250058327354,800,200,"OK (cv=5)",1.76409983159043,-12.0032301173744,-18,-7.21934654154032,1
20260215,20280315,1,1000,"threshold3","SexOnly","causal_forest",1.25321904715117,800,200,"OK",1.60501559963605,-12.001,-14.5,-9.5,0
20260215,20280315,1,1000,"threshold3","SexOnly","drlearner",1.25457597914994,800,200,"OK (cv=5)",1.60501559963605,-12.001,-14.5,-9.5,0
20260215,20280315,1,1000,"threshold3","SexGene","causal_forest",0.598709215979725,800,200,"OK",1.60501559963605,-12.001,-14.5,-9.5,0
20260215,20280315,1,1000,"threshold3","SexGene","drlearner",0.61765713197897,800,200,"OK (cv=5)",1.60501559963605,-12.001,-14.5,-9.5,0
