"n","effect_type","covset","method","mean_rmse","sd_rmse","se_rmse","n_success"
100,"linear","SexGene","drlearner",0.667627164067328,NA,NA,1
500,"linear","SexGene","causal_forest",0.58114700382732,NA,NA,1
500,"linear","SexGene","drlearner",19.9391251857193,NA,NA,1
1000,"linear","SexGene","causal_forest",0.554762781873808,NA,NA,1
1000,"linear","SexGene","drlearner",0.343250058327354,NA,NA,1
100,"linear","SexOnly","drlearner",2.03721415952856,NA,NA,1
500,"linear","SexOnly","causal_forest",1.50470642010815,NA,NA,1
500,"linear","SexOnly","drlearner",1.50537963048575,NA,NA,1
1000,"linear","SexOnly","causal_forest",1.44644386314571,NA,NA,1
1000,"linear","SexOnly","drlearner",1.44831718743032,NA,NA,1
100,"threshold3","SexGene","causal_forest",1.48261948823736,NA,NA,1
100,"threshold3","SexGene","drlearner",1.29210197467924,NA,NA,1
500,"threshold3","SexGene","causal_forest",0.707806872545834,NA,NA,1
500,"threshold3","SexGene","drlearner",0.68462607869639,NA,NA,1
1000,"threshold3","SexGene","causal_forest",0.598709215979725,NA,NA,1
1000,"threshold3","SexGene","drlearner",0.61765713197897,NA,NA,1
100,"threshold3","SexOnly","causal_forest",1.596549510189,NA,NA,1
100,"threshold3","SexOnly","drlearner",1.62927120257099,NA,NA,1
500,"threshold3","SexOnly","causal_forest",1.25896969557622,NA,NA,1
500,"threshold3","SexOnly","drlearner",1.25624077953324,NA,NA,1
1000,"threshold3","SexOnly","causal_forest",1.25321904715117,NA,NA,1
1000,"threshold3","SexOnly","drlearner",1.25457597914994,NA,NA,1
